"Id,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender,Exam_Score"
"1,0.5049415064154527,0.34837540699138664,1,0,0,-0.01979557715729433,-0.14379992882668732,1,1,-1.213934457288018,1,2,1,2,0.03141133078780467,0,1,1,-0.046494566465283826"
"2,-0.16282241129609587,-1.3837360532878724,1,2,0,0.6613991013752177,-1.1161102955380136,1,1,0.41145108517868284,2,2,1,0,1.0011994733813825,0,0,0,-1.5139608115422998"
"3,0.6718824858433398,1.5608534291868679,2,2,1,-0.01979557715729433,1.1063133998021608,2,1,0.41145108517868284,2,2,1,1,1.0011994733813825,0,2,1,1.6655493861245683"
"4,1.5065873829827754,0.7814032720612014,1,2,1,0.6613991013752177,1.5924685831578238,2,1,-0.40124168605466753,2,2,1,0,1.0011994733813825,0,1,1,0.9318162635860602"
"5,-0.16282241129609587,1.0412199911030902,2,2,1,-0.7009902556898064,-0.6994058526617309,2,1,1.2241438564120333,2,0,1,1,1.0011994733813825,0,0,0,-10.563335989517233"
"6,-0.16282241129609587,0.6947976990472384,2,2,1,0.6613991013752177,0.9674119188433998,2,1,1.2241438564120333,2,2,1,2,0.03141133078780467,0,2,1,0.9318162635860602"
"7,1.5065873829827754,0.34837540699138664,2,1,1,-0.01979557715729433,-0.4910536312235896,1,1,-0.40124168605466753,1,2,0,1,-0.938376811805773,0,1,1,-0.046494566465283826"
"8,0.8388234652712269,-0.1712580310923911,1,0,1,-0.7009902556898064,-1.7411669598524377,2,1,-0.40124168605466753,0,0,1,0,-0.938376811805773,0,1,1,-0.29107227397811986"
"9,-0.49670437015187013,1.2144311371310161,2,0,0,-0.7009902556898064,0.3423552545289758,0,1,-1.213934457288018,2,1,0,1,-1.9081649543993509,0,0,1,0.4426608485603882"
"10,0.5049415064154527,1.5608534291868679,2,2,1,0.6613991013752177,-0.2827014097854482,2,1,-1.213934457288018,0,0,1,2,1.9709876159749602,0,1,1,1.1763939710988962"
"11,-0.49670437015187013,0.0019531149355348125,1,0,0,0.6613991013752177,0.8979611783640193,2,0,2.0368366276453838,2,0,0,1,1.0011994733813825,0,0,1,0.19808314104755217"
