"Id,Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Exam_Score"
"1,23,84,73,0,67"
"2,19,64,59,2,61"
"3,24,98,91,2,74"
"4,29,89,98,1,71"
"5,19,92,65,3,24"
"6,19,88,89,3,71"
"7,29,84,68,1,67"
"8,25,78,50,1,66"
"9,17,94,80,0,69"
"10,23,98,71,0,72"
"11,17,80,88,4,68"
"12,17,97,87,2,71"
"13,21,83,97,2,70"
"14,9,82,72,2,66"
"15,10,78,74,1,65"
"16,17,68,70,2,64"
"17,14,60,65,0,60"
"18,22,70,82,1,65"
"19,15,80,91,3,67"
"20,12,75,58,3,66"
"21,29,78,99,0,69"
"22,19,99,84,1,72"
"23,20,74,89,1,66"
"24,11,78,100,1,66"
"25,17,65,75,2,63"
"26,21,62,54,0,64"
"27,13,91,90,1,65"
"28,22,83,94,0,71"
"29,16,90,58,1,66"
"30,18,66,51,2,64"
"31,16,83,57,0,63"
"32,31,70,66,1,69"
"33,20,69,96,2,67"
"34,14,60,50,2,61"
"35,25,65,90,2,68"
"36,13,72,93,1,61"
"37,21,65,91,2,64"
"38,8,99,54,2,67"
"39,12,72,84,1,63"
"40,21,65,98,1,64"
"41,24,68,56,3,67"
"42,21,84,52,1,65"
"43,19,63,94,1,64"
"44,18,94,82,3,70"
"45,11,98,82,1,68"
"46,16,70,98,2,65"
"47,17,78,88,1,68"
"48,26,61,70,2,64"
"49,22,86,72,3,68"
"50,9,77,57,2,63"
"51,22,71,65,1,64"
"52,18,68,72,0,64"
"53,16,86,63,2,67"
"54,24,77,96,0,67"
"55,26,67,51,2,66"
"56,26,88,79,1,72"
"57,15,83,89,1,65"
"58,18,94,87,1,71"
"59,22,65,82,2,66"
"60,26,91,71,0,68"
"61,17,87,96,1,70"
"62,19,65,66,0,62"
"63,13,88,88,2,68"
"64,13,78,96,2,67"
"65,25,98,56,0,71"
"66,28,66,97,0,68"
"67,20,86,89,1,69"
"68,26,75,81,3,70"
"69,22,98,69,1,69"
"70,16,73,95,1,65"
"71,22,98,52,3,70"
"72,29,96,72,1,71"
"73,20,71,88,1,65"
"74,29,92,91,2,72"
"75,4,100,60,0,69"
"76,25,70,52,1,66"
"77,21,77,90,4,68"
"78,18,81,71,0,65"
"79,21,72,57,1,64"
"80,8,61,54,1,60"
"81,19,69,82,1,65"
"82,22,71,79,1,66"
"83,29,78,93,5,74"
"84,17,67,52,2,62"
"85,15,95,93,2,70"
"86,17,88,94,0,69"
"87,25,63,72,3,67"
"88,22,86,54,2,64"
"89,17,86,97,3,71"
"90,23,98,54,0,68"
"91,21,60,80,0,64"
"92,26,70,75,1,63"
"93,16,97,92,0,71"
"94,18,97,75,0,69"
"95,18,89,73,3,100"
"96,11,91,94,3,68"
"97,22,64,98,1,62"
"98,22,81,77,2,68"
"99,20,69,73,2,66"
"100,19,67,92,0,64"
"101,12,92,92,2,67"
"102,17,65,66,1,65"
"103,18,79,79,0,65"
"104,15,98,58,0,69"
"105,19,67,82,1,63"
"106,22,99,92,3,72"
"107,31,100,59,2,76"
"108,21,82,66,3,69"
"109,22,67,72,3,67"
"110,20,73,92,2,69"
"111,8,77,87,0,63"
"112,20,72,66,3,67"
"113,20,71,62,2,66"
"114,35,99,85,2,79"
"115,19,66,74,1,64"
"116,22,89,80,1,73"
"117,20,60,82,2,63"
"118,13,84,78,1,65"
"119,27,97,81,0,73"
"120,25,72,94,2,70"
"121,25,67,93,2,68"
"122,15,86,57,1,65"
"123,28,89,79,0,71"
"124,12,88,72,2,64"
"125,24,73,64,4,68"
"126,33,70,82,1,69"
"127,14,98,76,0,69"
"128,17,97,89,1,69"
"129,21,78,55,1,67"
"130,17,94,65,4,68"
"131,11,78,51,2,64"
"132,20,77,87,0,66"
"133,14,66,96,3,63"
"134,23,77,79,0,66"
"135,14,81,81,1,66"
"136,29,61,52,3,67"
"137,15,78,75,1,65"
"138,18,91,76,1,68"
"139,25,87,52,1,68"
"140,13,85,89,0,65"
"141,21,96,64,2,71"
"142,28,61,86,1,65"
"143,10,82,70,3,64"
"144,21,91,100,0,72"
"145,22,82,61,2,65"
"146,25,73,53,0,66"
"147,13,65,99,0,61"
"148,12,96,62,2,68"
"149,23,79,82,3,69"
"150,22,95,69,1,72"
"151,22,83,82,2,71"
"152,22,87,80,2,70"
"153,16,92,85,1,68"
"154,21,86,51,2,67"
"155,22,76,92,1,68"
"156,16,81,74,3,68"
"157,31,92,76,2,72"
"158,23,75,71,0,65"
"159,13,76,99,2,66"
"160,24,64,90,0,65"
"161,14,97,66,2,67"
"162,25,64,89,2,66"
"163,27,86,72,1,69"
"164,15,77,94,0,66"
"165,26,76,52,4,69"
"166,22,87,68,0,67"
"167,25,63,71,1,66"
"168,31,84,87,2,71"
"169,19,91,59,5,70"
"170,15,93,64,2,71"
"171,15,67,86,1,66"
"172,15,96,54,3,67"
"173,20,86,60,1,66"
"174,22,95,88,0,72"
"175,22,79,94,1,68"
"176,25,82,86,3,69"
"177,20,97,76,2,71"
"178,29,96,55,0,70"
"179,18,78,91,2,67"
"180,36,71,56,2,69"
"181,24,76,69,2,65"
"182,15,76,53,1,65"
"183,14,71,85,2,64"
"184,23,71,75,1,63"
"185,19,94,95,3,69"
"186,24,63,57,1,64"
"187,23,87,91,0,72"
"188,20,67,76,0,63"
"189,15,74,68,3,64"
"190,11,62,82,3,64"
"191,17,71,90,5,67"
"192,25,91,72,2,71"
"193,21,95,62,1,70"
"194,13,69,96,0,61"
"195,21,79,66,2,67"
"196,22,79,100,4,72"
"197,15,95,88,1,66"
"198,21,91,84,1,70"
"199,20,81,51,3,67"
"200,13,87,72,2,67"
"201,22,94,75,2,71"
"202,23,60,69,1,66"
"203,26,76,57,1,68"
"204,26,96,68,3,74"
"205,12,90,54,1,64"
"206,14,82,65,1,65"
"207,23,81,54,1,66"
"208,23,74,88,0,66"
"209,23,81,84,2,68"
"210,43,86,97,2,78"
"211,23,77,69,1,67"
"212,27,89,89,3,74"
"213,26,94,79,1,74"
"214,24,66,82,1,62"
"215,18,78,77,2,66"
"216,25,76,89,3,69"
"217,15,87,52,2,68"
"218,19,70,54,0,89"
"219,17,86,55,2,66"
"220,20,95,64,2,68"
"221,34,77,80,0,69"
"222,9,96,82,0,67"
"223,24,100,86,2,75"
"224,10,64,64,0,60"
"225,17,69,83,2,66"
"226,27,98,56,1,73"
"227,20,98,50,1,68"
"228,14,64,85,0,62"
"229,16,61,86,2,62"
"230,24,66,81,1,65"
"231,16,100,63,2,69"
"232,21,67,96,3,64"
"233,20,80,94,0,67"
"234,16,94,76,0,70"
"235,33,61,99,2,70"
"236,24,84,65,3,69"
"237,8,71,75,0,61"
"238,21,94,96,0,69"
"239,16,71,73,1,63"
"240,25,87,74,0,67"
"241,15,87,54,1,65"
"242,19,69,61,3,66"
"243,23,61,58,4,63"
"244,25,76,78,2,68"
"245,13,72,66,0,65"
"246,18,92,54,1,67"
"247,17,92,75,2,68"
"248,16,78,83,0,64"
"249,31,84,87,0,71"
"250,22,84,92,0,69"
"251,12,93,74,1,67"
"252,26,77,70,2,65"
"253,33,71,84,1,68"
"254,26,71,51,1,67"
"255,11,81,82,3,67"
"256,17,78,70,2,66"
"257,28,78,73,2,70"
"258,16,64,65,3,65"
"259,23,89,56,4,69"
"260,25,69,70,1,65"
"261,14,68,65,1,63"
"262,20,77,98,2,67"
"263,1,69,97,1,61"
"264,14,83,82,0,65"
"265,18,75,95,1,66"
"266,13,78,88,0,66"
"267,30,81,67,1,69"
"268,11,68,80,2,63"
"269,17,66,61,1,65"
"270,21,95,84,0,67"
"271,29,77,52,2,69"
"272,11,76,92,4,65"
"273,27,61,79,1,65"
"274,20,80,53,0,65"
"275,14,82,94,2,67"
"276,23,82,94,1,66"
"277,21,88,93,4,72"
"278,16,67,89,3,66"
"279,20,70,84,2,65"
"280,18,92,70,1,69"
"281,21,98,57,2,68"
"282,24,65,64,1,64"
"283,30,80,67,3,69"
"284,13,69,68,0,59"
"285,33,62,78,0,68"
"286,8,73,60,0,60"
"287,19,66,59,1,62"
"288,24,88,86,0,67"
"289,22,81,50,4,68"
"290,16,66,57,3,64"
"291,19,60,72,3,65"
"292,17,92,57,2,65"
"293,16,67,98,0,63"
"294,25,84,84,2,70"
"295,22,73,72,3,66"
"296,16,83,56,4,68"
"297,25,73,69,3,66"
"298,22,63,83,3,63"
"299,25,69,98,1,66"
"300,24,68,74,1,65"
"301,15,77,85,1,66"
"302,17,86,60,2,67"
"303,24,71,81,0,66"
"304,24,60,62,4,63"
"305,20,81,60,3,66"
"306,21,84,75,1,67"
"307,28,99,61,1,71"
"308,16,84,86,1,67"
"309,23,79,97,1,69"
"310,19,83,70,2,67"
"311,19,97,66,2,72"
"312,27,93,59,2,70"
"313,25,73,70,0,67"
"314,25,69,78,0,64"
"315,28,71,69,1,67"
"316,20,80,81,3,69"
"317,24,90,83,0,68"
"318,18,80,55,2,63"
"319,22,63,85,4,68"
"320,19,89,95,0,70"
"321,21,92,51,0,66"
"322,24,72,78,0,68"
"323,15,87,80,0,67"
"324,33,77,85,0,69"
"325,14,96,69,0,66"
"326,13,94,91,3,68"
"327,27,81,77,2,69"
"328,25,88,70,1,70"
"329,24,95,86,1,74"
"330,24,80,96,0,70"
"331,20,73,91,1,66"
"332,15,90,97,1,69"
"333,20,69,63,0,64"
"334,16,76,56,1,62"
"335,26,95,77,0,70"
"336,19,89,52,2,68"
"337,15,76,84,0,65"
"338,18,69,62,3,65"
"339,22,74,73,3,71"
"340,17,71,83,2,66"
"341,15,67,74,0,61"
"342,21,90,62,2,67"
"343,21,70,94,0,65"
"344,17,78,88,0,65"
"345,17,75,80,1,65"
"346,21,99,85,4,73"
"347,11,76,71,1,62"
"348,12,63,69,0,60"
"349,16,64,58,1,61"
"350,19,84,90,2,67"
"351,22,84,69,3,70"
"352,29,77,85,1,69"
"353,25,77,65,0,66"
"354,19,62,90,2,64"
"355,20,81,55,1,68"
"356,14,80,81,1,67"
"357,20,66,90,0,64"
"358,18,64,83,2,65"
"359,22,65,85,2,66"
"360,15,64,76,2,63"
"361,23,84,78,2,68"
"362,29,68,53,1,66"
"363,19,70,63,3,63"
"364,22,67,86,1,63"
"365,24,98,97,1,74"
"366,18,94,77,1,70"
"367,21,69,86,2,68"
"368,20,73,84,0,66"
"369,21,68,100,0,63"
"370,15,80,90,4,67"
"371,20,61,81,1,62"
"372,23,87,56,1,71"
"373,29,81,68,2,72"
"374,26,96,63,1,72"
"375,33,67,93,0,68"
"376,15,92,72,1,66"
"377,25,92,77,0,70"
"378,21,65,98,2,66"
"379,33,76,92,1,72"
"380,15,67,89,0,64"
"381,15,70,57,1,63"
"382,16,71,51,0,61"
"383,7,82,56,0,62"
"384,17,76,87,1,68"
"385,15,98,71,1,68"
"386,21,65,56,1,63"
"387,22,99,87,1,70"
"388,31,69,60,1,68"
"389,26,91,79,1,72"
"390,17,74,87,4,67"
"391,15,66,80,1,61"
"392,23,94,100,0,69"
"393,12,72,72,2,61"
"394,31,86,66,3,75"
"395,27,83,60,0,68"
"396,17,79,75,1,65"
"397,10,80,93,4,67"
"398,28,89,97,3,75"
"399,19,64,99,1,64"
"400,27,87,77,1,70"
"401,10,96,80,0,67"
"402,16,62,79,2,63"
"403,20,66,73,1,65"
"404,20,89,58,1,67"
"405,17,77,53,2,86"
"406,24,76,72,3,67"
"407,14,65,59,1,63"
"408,19,80,94,0,66"
"409,21,65,88,2,65"
"410,23,79,81,1,67"
"411,24,91,52,0,69"
"412,13,70,81,2,66"
"413,11,79,81,1,64"
"414,28,100,72,1,73"
"415,22,87,83,1,66"
"416,16,94,93,1,68"
"417,29,77,88,0,70"
"418,21,91,74,2,69"
"419,27,62,63,4,67"
"420,20,65,74,0,62"
"421,32,68,97,1,68"
"422,31,76,91,1,72"
"423,19,94,51,3,69"
"424,26,74,89,3,66"
"425,24,86,59,1,70"
"426,28,88,79,0,71"
"427,14,83,90,0,65"
"428,24,74,78,3,70"
"429,26,83,70,2,65"
"430,9,74,66,1,62"
"431,13,63,65,2,62"
"432,8,100,92,1,70"
"433,18,65,91,5,66"
"434,24,63,91,4,67"
"435,29,95,64,1,72"
"436,20,72,90,0,66"
"437,30,86,52,2,68"
"438,12,73,60,1,62"
"439,10,76,76,2,64"
"440,20,70,70,0,65"
"441,22,74,56,4,66"
"442,20,76,52,2,64"
"443,8,89,81,4,67"
"444,19,80,66,4,69"
"445,12,98,51,0,68"
"446,24,62,72,2,64"
"447,22,80,65,2,68"
"448,14,83,79,1,64"
"449,17,97,96,0,71"
"450,14,62,65,3,61"
"451,20,83,100,4,68"
"452,26,94,54,2,73"
"453,14,70,54,3,64"
"454,23,95,86,3,72"
"455,17,61,87,5,65"
"456,15,89,71,1,68"
"457,19,97,64,2,71"
"458,14,86,90,3,65"
"459,17,78,98,2,66"
"460,13,62,99,4,63"
"461,32,97,82,1,74"
"462,20,79,87,2,66"
"463,16,61,91,2,63"
"464,21,88,90,2,72"
"465,19,79,100,1,69"
"466,19,65,91,1,67"
