"Id,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender"
"1,Low,High,No,7,Low,Yes,Low,Medium,Public,Positive,3,No,High School,Male"
"2,Low,Medium,No,8,Low,Yes,Medium,Medium,Public,Negative,4,No,College,Female"
"3,Medium,Medium,Yes,7,Medium,Yes,Medium,Medium,Public,Neutral,4,No,Postgraduate,Male"
"4,Low,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Negative,4,No,High School,Male"
"5,Medium,Medium,Yes,6,Medium,Yes,Medium,High,Public,Neutral,4,No,College,Female"
"6,Medium,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Positive,3,No,Postgraduate,Male"
"7,Medium,Low,Yes,7,Low,Yes,Low,Medium,Private,Neutral,2,No,High School,Male"
"8,Low,High,Yes,6,Medium,Yes,High,High,Public,Negative,2,No,High School,Male"
"9,Medium,High,No,6,High,Yes,Medium,Low,Private,Neutral,1,No,College,Male"
"10,Medium,Medium,Yes,8,Medium,Yes,High,High,Public,Positive,5,No,High School,Male"
"11,Low,High,No,8,Medium,No,Medium,High,Private,Neutral,4,No,College,Male"
"12,Medium,High,Yes,6,Low,Yes,Low,High,Private,Neutral,2,No,High School,Male"
"13,Medium,Medium,Yes,8,Low,Yes,Medium,Medium,Public,Positive,4,No,High School,Male"
"14,Medium,Medium,Yes,8,Medium,Yes,Medium,Medium,Private,Positive,3,No,Postgraduate,Male"
"15,Medium,High,Yes,8,Medium,Yes,Low,Medium,Private,Neutral,4,No,Postgraduate,Male"
"16,Medium,Medium,No,8,Medium,Yes,Medium,Medium,Private,Positive,4,No,High School,Female"
"17,Medium,Low,Yes,10,Low,Yes,High,Medium,Private,Positive,3,No,College,Male"
"18,Low,Medium,Yes,6,Medium,Yes,Low,High,Public,Neutral,3,No,High School,Female"
"19,Medium,Medium,Yes,9,Low,Yes,Low,Medium,Public,Positive,2,No,College,Female"
"20,Medium,High,Yes,7,Medium,Yes,Medium,Medium,Private,Positive,4,No,College,Male"
"21,Medium,Medium,No,5,High,Yes,High,Medium,Public,Negative,1,No,High School,Female"
"22,Medium,High,No,6,Medium,Yes,Medium,High,Public,Neutral,3,No,High School,Male"
"23,Medium,High,No,8,Low,Yes,Medium,Medium,Public,Negative,2,No,College,Female"
"24,High,Medium,Yes,8,High,Yes,Low,Medium,Public,Neutral,3,No,High School,Male"
"25,Low,High,Yes,5,Medium,Yes,Low,Medium,Public,Positive,3,No,High School,Female"
"26,High,Low,Yes,6,High,Yes,High,High,Public,Positive,3,No,Postgraduate,Male"
"27,Low,Medium,No,6,Medium,Yes,High,Medium,Public,Negative,2,Yes,High School,Female"
"28,High,High,Yes,6,Medium,Yes,High,Medium,Public,Neutral,2,No,College,Male"
"29,Medium,Medium,No,4,Medium,Yes,Low,Medium,Public,Neutral,3,No,High School,Female"
"30,High,High,No,4,Low,Yes,Low,Medium,Private,Neutral,2,No,College,Male"
"31,Low,Medium,No,6,Medium,Yes,High,Low,Public,Positive,4,Yes,High School,Female"
"32,Medium,High,Yes,7,Medium,Yes,High,Medium,Public,Negative,3,No,College,Male"
"33,Medium,Medium,Yes,8,Medium,Yes,Medium,High,Public,Positive,3,No,High School,Male"
"34,High,Medium,No,5,Medium,Yes,Medium,Medium,Public,Neutral,3,No,College,Female"
"35,High,Medium,No,5,Medium,Yes,Medium,Medium,Public,Positive,3,No,College,Female"
"36,Low,Medium,No,6,Low,Yes,Low,Medium,Public,Negative,3,No,High School,Male"
"37,Medium,Low,Yes,7,Low,Yes,Medium,High,Public,Positive,3,No,High School,Female"
"38,Medium,Medium,No,9,Low,Yes,Low,Medium,Public,Neutral,5,No,Postgraduate,Female"
"39,Low,Medium,Yes,8,Medium,Yes,Low,Medium,Public,Positive,5,No,High School,Female"
"40,Low,Medium,Yes,6,Low,Yes,Medium,High,Public,Negative,4,No,High School,Male"
"41,High,Medium,No,8,Low,Yes,High,High,Public,Neutral,1,No,College,Male"
"42,Medium,Medium,Yes,6,Low,Yes,Medium,High,Public,Neutral,2,Yes,College,Female"
