"Id,Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Exam_Score"
"1,23,84,73,7,0,3,67"
"2,19,64,59,8,2,4,61"
"3,24,98,91,7,2,4,74"
"4,29,89,98,8,1,4,71"
"5,19,92,65,6,3,4,24"
"6,19,88,89,8,3,3,71"
"7,29,84,68,7,1,2,67"
"8,25,78,50,6,1,2,66"
"9,17,94,80,6,0,1,69"
"10,23,98,71,8,0,5,72"
"11,17,80,88,8,4,4,68"
"12,17,97,87,6,2,2,71"
"13,21,83,97,8,2,4,70"
"14,9,82,72,8,2,3,66"
"15,10,78,74,8,1,4,65"
"16,17,68,70,8,2,4,64"
"17,14,60,65,10,0,3,60"
"18,22,70,82,6,1,3,65"
"19,15,80,91,9,3,2,67"
"20,12,75,58,7,3,4,66"
"21,29,78,99,5,0,1,69"
"22,19,99,84,6,1,3,72"
"23,20,74,89,8,1,2,66"
"24,11,78,100,8,1,3,66"
"25,17,65,75,5,2,3,63"
"26,21,62,54,6,0,3,64"
"27,13,91,90,6,1,2,65"
"28,22,83,94,6,0,2,71"
"29,16,90,58,4,1,3,66"
"30,18,66,51,4,2,2,64"
"31,16,83,57,6,0,4,63"
"32,31,70,66,7,1,3,69"
"33,20,69,96,8,2,3,67"
"34,14,60,50,5,2,3,61"
"35,25,65,90,5,2,3,68"
"36,13,72,93,6,1,3,61"
"37,21,65,91,7,2,3,64"
"38,8,99,54,9,2,5,67"
"39,12,72,84,8,1,5,63"
"40,21,65,98,6,1,4,64"
"41,24,68,56,8,3,1,67"
"42,21,84,52,6,1,2,65"
"43,19,63,94,7,1,3,64"
"44,18,94,82,7,3,2,70"
"45,11,98,82,9,1,3,68"
"46,16,70,98,8,2,3,65"
"47,17,78,88,6,1,3,68"
"48,26,61,70,6,2,3,64"
"49,22,86,72,7,3,2,68"
"50,9,77,57,5,2,3,63"
"51,22,71,65,7,1,4,64"
"52,18,68,72,7,0,3,64"
"53,16,86,63,8,2,4,67"
"54,24,77,96,8,0,3,67"
"55,26,67,51,7,2,4,66"
"56,26,88,79,5,1,4,72"
"57,15,83,89,5,1,2,65"
"58,18,94,87,6,1,4,71"
"59,22,65,82,8,2,1,66"
"60,26,91,71,8,0,3,68"
"61,17,87,96,7,1,5,70"
"62,19,65,66,10,0,3,62"
"63,13,88,88,9,2,4,68"
"64,13,78,96,9,2,3,67"
"65,25,98,56,8,0,3,71"
"66,28,66,97,8,0,2,68"
"67,20,86,89,8,1,3,69"
"68,26,75,81,4,3,2,70"
"69,22,98,69,5,1,4,69"
"70,16,73,95,7,1,4,65"
"71,22,98,52,7,3,3,70"
"72,29,96,72,7,1,3,71"
"73,20,71,88,7,1,4,65"
"74,29,92,91,4,2,1,72"
"75,4,100,60,8,0,4,69"
"76,25,70,52,7,1,3,66"
"77,21,77,90,7,4,3,68"
"78,18,81,71,8,0,3,65"
"79,21,72,57,5,1,5,64"
"80,8,61,54,7,1,3,60"
