"Id,Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Gender"
"1,23,84,73,7,0,3,67,Low,High,No,Low,Yes,Low,Medium,Public,Positive,No,High School,Male"
"2,19,64,59,8,2,4,61,Low,Medium,No,Low,Yes,Medium,Medium,Public,Negative,No,College,Female"
"3,24,98,91,7,2,4,74,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,Postgraduate,Male"
"4,29,89,98,8,1,4,71,Low,Medium,Yes,Medium,Yes,Medium,Medium,Public,Negative,No,High School,Male"
"5,19,92,65,6,3,4,24,Medium,Medium,Yes,Medium,Yes,Medium,High,Public,Neutral,No,College,Female"
"6,19,88,89,8,3,3,71,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,Postgraduate,Male"
"7,29,84,68,7,1,2,67,Medium,Low,Yes,Low,Yes,Low,Medium,Private,Neutral,No,High School,Male"
"8,25,78,50,6,1,2,66,Low,High,Yes,Medium,Yes,High,High,Public,Negative,No,High School,Male"
"9,17,94,80,6,0,1,69,Medium,High,No,High,Yes,Medium,Low,Private,Neutral,No,College,Male"
"10,23,98,71,8,0,5,72,Medium,Medium,Yes,Medium,Yes,High,High,Public,Positive,No,High School,Male"
"11,17,80,88,8,4,4,68,Low,High,No,Medium,No,Medium,High,Private,Neutral,No,College,Male"
"12,17,97,87,6,2,2,71,Medium,High,Yes,Low,Yes,Low,High,Private,Neutral,No,High School,Male"
"13,21,83,97,8,2,4,70,Medium,Medium,Yes,Low,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"14,9,82,72,8,2,3,66,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Private,Positive,No,Postgraduate,Male"
"15,10,78,74,8,1,4,65,Medium,High,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,Postgraduate,Male"
"16,17,68,70,8,2,4,64,Medium,Medium,No,Medium,Yes,Medium,Medium,Private,Positive,No,High School,Female"
"17,14,60,65,10,0,3,60,Medium,Low,Yes,Low,Yes,High,Medium,Private,Positive,No,College,Male"
"18,22,70,82,6,1,3,65,Low,Medium,Yes,Medium,Yes,Low,High,Public,Neutral,No,High School,Female"
"19,15,80,91,9,3,2,67,Medium,Medium,Yes,Low,Yes,Low,Medium,Public,Positive,No,College,Female"
"20,12,75,58,7,3,4,66,Medium,High,Yes,Medium,Yes,Medium,Medium,Private,Positive,No,College,Male"
"21,29,78,99,5,0,1,69,Medium,Medium,No,High,Yes,High,Medium,Public,Negative,No,High School,Female"
"22,19,99,84,6,1,3,72,Medium,High,No,Medium,Yes,Medium,High,Public,Neutral,No,High School,Male"
"23,20,74,89,8,1,2,66,Medium,High,No,Low,Yes,Medium,Medium,Public,Negative,No,College,Female"
"24,11,78,100,8,1,3,66,High,Medium,Yes,High,Yes,Low,Medium,Public,Neutral,No,High School,Male"
"25,17,65,75,5,2,3,63,Low,High,Yes,Medium,Yes,Low,Medium,Public,Positive,No,High School,Female"
"26,21,62,54,6,0,3,64,High,Low,Yes,High,Yes,High,High,Public,Positive,No,Postgraduate,Male"
"27,13,91,90,6,1,2,65,Low,Medium,No,Medium,Yes,High,Medium,Public,Negative,Yes,High School,Female"
"28,22,83,94,6,0,2,71,High,High,Yes,Medium,Yes,High,Medium,Public,Neutral,No,College,Male"
"29,16,90,58,4,1,3,66,Medium,Medium,No,Medium,Yes,Low,Medium,Public,Neutral,No,High School,Female"
"30,18,66,51,4,2,2,64,High,High,No,Low,Yes,Low,Medium,Private,Neutral,No,College,Male"
"31,16,83,57,6,0,4,63,Low,Medium,No,Medium,Yes,High,Low,Public,Positive,Yes,High School,Female"
"32,31,70,66,7,1,3,69,Medium,High,Yes,Medium,Yes,High,Medium,Public,Negative,No,College,Male"
"33,20,69,96,8,2,3,67,Medium,Medium,Yes,Medium,Yes,Medium,High,Public,Positive,No,High School,Male"
"34,14,60,50,5,2,3,61,High,Medium,No,Medium,Yes,Medium,Medium,Public,Neutral,No,College,Female"
"35,25,65,90,5,2,3,68,High,Medium,No,Medium,Yes,Medium,Medium,Public,Positive,No,College,Female"
"36,13,72,93,6,1,3,61,Low,Medium,No,Low,Yes,Low,Medium,Public,Negative,No,High School,Male"
"37,21,65,91,7,2,3,64,Medium,Low,Yes,Low,Yes,Medium,High,Public,Positive,No,High School,Female"
"38,8,99,54,9,2,5,67,Medium,Medium,No,Low,Yes,Low,Medium,Public,Neutral,No,Postgraduate,Female"
"39,12,72,84,8,1,5,63,Low,Medium,Yes,Medium,Yes,Low,Medium,Public,Positive,No,High School,Female"
"40,21,65,98,6,1,4,64,Low,Medium,Yes,Low,Yes,Medium,High,Public,Negative,No,High School,Male"
